ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK.B
LLY
AVGO
JPM
V
UNH
XOM
MA
JNJ
PG
HD
COST
MRK
ABBV
CVX
PEP
KO
ADBE
WMT
BAC
CRM
NFLX
AMD
TMO
ACN
MCD
LIN
CSCO
ABT
DHR
WFC
TXN
DIS
PM
INTU
AMGN
VZ
IBM
CAT
GE
NOW
UNP
NEE
LOW
SPGI
RTX
HON
QCOM
BA
ISRG
ELV
PLD
GS
AMAT
DE
BKNG
SYK
BLK
T
MDT
LMT
ADP
GILD
MDLZ
C
TJX
SBUX
MMC
ADI
VRTX
CI
REGN
PGR
PANW
ETN
MO
BSX
ZTS
SCHW
CB
SO
FI
BMY
MU
DUK
SLB
EQIX
AON
CME
ITW
PYPL
APD
KLAC
